name,description,url,type,category,subcategory,project_tags,production_ready,learning_value,sacred_circuits_relevance,related_apis,use_cases,notes
AudioContext,Represents an audio-processing graph built from linked audio modules,https://developer.mozilla.org/en-US/docs/Web/API/AudioContext,api,Web Audio API,Context,Pantheon|Orbs|Ritual,1.0,1.0,1.0,BaseAudioContext|AudioDestinationNode|AudioListener,Audio pipeline initialization|Real-time audio processing,Core entry point for all Web Audio work
BaseAudioContext,Base definition for online and offline audio-processing graphs,https://developer.mozilla.org/en-US/docs/Web/API/BaseAudioContext,api,Web Audio API,Context,Pantheon|Orbs,0.9,0.8,0.6,AudioContext|OfflineAudioContext,Shared interface for audio contexts,Parent class - not instantiated directly
OfflineAudioContext,Audio context that renders to an AudioBuffer rather than speakers,https://developer.mozilla.org/en-US/docs/Web/API/OfflineAudioContext,api,Web Audio API,Context,Pantheon,0.9,0.7,0.7,AudioContext|AudioBuffer,Pre-rendering audio|Server-side audio processing,Useful for pre-processing deity voice effects
AudioNode,Base interface for audio-processing modules in the audio graph,https://developer.mozilla.org/en-US/docs/Web/API/AudioNode,api,Web Audio API,Base,Pantheon|Orbs,1.0,0.9,0.5,AudioContext|AudioParam,Building audio processing chains,Abstract base - all nodes inherit from this
AudioParam,Audio-related parameter that can be scheduled and automated over time,https://developer.mozilla.org/en-US/docs/Web/API/AudioParam,api,Web Audio API,Parameter,Pantheon|Orbs,1.0,0.9,0.8,AudioNode|GainNode|OscillatorNode,Smooth parameter transitions|Automation curves,Critical for smooth voice parameter changes
AudioParamMap,Map-like interface providing access to a group of AudioParam objects,https://developer.mozilla.org/en-US/docs/Web/API/AudioParamMap,api,Web Audio API,Parameter,Orbs,0.8,0.5,0.3,AudioWorkletNode|AudioParam,Accessing worklet parameters,Used with AudioWorkletNode
AudioBuffer,Short audio asset stored in memory from decoded audio data,https://developer.mozilla.org/en-US/docs/Web/API/AudioBuffer,api,Web Audio API,Buffer,Pantheon|Ritual,1.0,0.8,0.8,AudioBufferSourceNode|AudioContext,Loading oracle audio clips|Sound effect playback,Store deity voice samples and ambient sounds
PeriodicWave,Describes a periodic waveform shape for use with OscillatorNode,https://developer.mozilla.org/en-US/docs/Web/API/PeriodicWave,api,Web Audio API,Waveform,Orbs,0.8,0.7,0.5,OscillatorNode|AudioContext,Custom oscillator waveforms|Unique tone generation,Create unique sacred tone signatures
AudioDestinationNode,Final destination node representing the output device (speakers),https://developer.mozilla.org/en-US/docs/Web/API/AudioDestinationNode,api,Web Audio API,Destination,Pantheon|Orbs|Ritual,1.0,0.8,0.7,AudioContext|AudioNode,Audio output routing,Every audio graph ends here
MediaStreamAudioDestinationNode,Routes audio output to a WebRTC MediaStream instead of speakers,https://developer.mozilla.org/en-US/docs/Web/API/MediaStreamAudioDestinationNode,api,Web Audio API,Destination,Pantheon,0.7,0.6,0.4,MediaStream|AudioContext,Recording processed audio|WebRTC streaming,Could stream processed deity voice
OscillatorNode,Generates periodic waveforms (sine/triangle/square/sawtooth/custom),https://developer.mozilla.org/en-US/docs/Web/API/OscillatorNode,api,Web Audio API,Source Node,Orbs|Ritual,1.0,0.9,0.7,AudioScheduledSourceNode|PeriodicWave|GainNode,Tone generation|Ambient drones|Alert sounds,Sacred frequency generation for rituals
AudioBufferSourceNode,Plays back audio data stored in an AudioBuffer,https://developer.mozilla.org/en-US/docs/Web/API/AudioBufferSourceNode,api,Web Audio API,Source Node,Pantheon|Ritual,1.0,0.9,0.9,AudioBuffer|AudioScheduledSourceNode,Playing deity voice clips|Sound effects|Oracle readings,Primary node for playing pre-recorded deity audio
MediaElementAudioSourceNode,Audio source from an HTML audio or video element,https://developer.mozilla.org/en-US/docs/Web/API/MediaElementAudioSourceNode,api,Web Audio API,Source Node,Pantheon,0.9,0.7,0.6,HTMLMediaElement|AudioContext,Streaming audio playback|Processing media elements,Stream oracle readings from media elements
MediaStreamAudioSourceNode,Audio source from a live MediaStream (microphone/webcam),https://developer.mozilla.org/en-US/docs/Web/API/MediaStreamAudioSourceNode,api,Web Audio API,Source Node,Pantheon,0.9,0.8,0.8,MediaStream|AudioContext,Microphone input|Voice capture for STT,Capture user voice for oracle interaction
MediaStreamTrackAudioSourceNode,Audio source from a specific MediaStreamTrack,https://developer.mozilla.org/en-US/docs/Web/API/MediaStreamTrackAudioSourceNode,api,Web Audio API,Source Node,Pantheon,0.7,0.5,0.4,MediaStreamTrack|AudioContext,Fine-grained track selection,More specific than MediaStreamAudioSourceNode
AudioScheduledSourceNode,Parent interface for audio source nodes with start/stop scheduling,https://developer.mozilla.org/en-US/docs/Web/API/AudioScheduledSourceNode,api,Web Audio API,Source Node,Pantheon|Orbs,0.9,0.7,0.4,OscillatorNode|AudioBufferSourceNode|ConstantSourceNode,Scheduled audio playback,Abstract base for timed sources
ConstantSourceNode,Outputs a constant value signal useful for automation,https://developer.mozilla.org/en-US/docs/Web/API/ConstantSourceNode,api,Web Audio API,Source Node,Orbs,0.7,0.6,0.3,AudioScheduledSourceNode|AudioParam,Parameter automation|DC offset,Useful for controlling multiple params simultaneously
GainNode,Controls the volume/amplitude of audio passing through it,https://developer.mozilla.org/en-US/docs/Web/API/GainNode,api,Web Audio API,Effect Node,Pantheon|Orbs|Ritual,1.0,1.0,0.9,AudioParam|AudioNode,Volume control|Fade in/out|Mixing,Essential for deity voice level control and crossfading
BiquadFilterNode,Simple low-order filter for highpass/lowpass/bandpass/notch/etc,https://developer.mozilla.org/en-US/docs/Web/API/BiquadFilterNode,api,Web Audio API,Effect Node,Pantheon|Orbs,1.0,0.9,0.8,AudioParam|IIRFilterNode,EQ|Tone shaping|Voice filtering,Shape deity voice tone - remove rumble or add presence
ConvolverNode,Performs linear convolution for reverb and acoustic space simulation,https://developer.mozilla.org/en-US/docs/Web/API/ConvolverNode,api,Web Audio API,Effect Node,Ritual|Pantheon,1.0,0.8,0.9,AudioBuffer|GainNode,Reverb|Room simulation|Acoustic environments,Temple/cave reverb for immersive oracle experience
DelayNode,Delay-line that introduces time delay between input and output,https://developer.mozilla.org/en-US/docs/Web/API/DelayNode,api,Web Audio API,Effect Node,Ritual|Orbs,1.0,0.8,0.7,AudioParam|GainNode,Echo effects|Feedback loops|Spatial depth,Ethereal echo effects for deity voices
DynamicsCompressorNode,Compresses loud signals to prevent clipping and normalize volume,https://developer.mozilla.org/en-US/docs/Web/API/DynamicsCompressorNode,api,Web Audio API,Effect Node,Pantheon,1.0,0.8,0.7,GainNode|AudioParam,Volume normalization|Loudness control,Normalize deity voice volume across different speakers
WaveShaperNode,Non-linear distortion using a curve-shaping function,https://developer.mozilla.org/en-US/docs/Web/API/WaveShaperNode,api,Web Audio API,Effect Node,Orbs|Ritual,0.9,0.7,0.6,AudioNode|Float32Array,Distortion|Saturation|Warmth,Add otherworldly texture to deity voices
IIRFilterNode,General infinite impulse response filter for custom frequency response,https://developer.mozilla.org/en-US/docs/Web/API/IIRFilterNode,api,Web Audio API,Effect Node,Pantheon,0.8,0.6,0.5,BiquadFilterNode|AudioParam,Custom EQ curves|Precise frequency shaping,Advanced filtering when BiquadFilter is insufficient
AnalyserNode,Provides real-time frequency and time-domain analysis data,https://developer.mozilla.org/en-US/docs/Web/API/AnalyserNode,api,Web Audio API,Analysis Node,Orbs|Pantheon,1.0,1.0,1.0,Float32Array|Uint8Array|AudioNode,Audio visualization|FFT data|Waveform display,Critical for audio-reactive orb visuals and voice meters
PannerNode,3D spatial positioning and panning of audio in 3D space,https://developer.mozilla.org/en-US/docs/Web/API/PannerNode,api,Web Audio API,Spatialization,Ritual|Orbs,1.0,0.8,0.8,AudioListener|StereoPannerNode,3D audio positioning|Immersive soundscapes,Position deity voices in 3D space around the orb
StereoPannerNode,Simple stereo left/right panning of audio signal,https://developer.mozilla.org/en-US/docs/Web/API/StereoPannerNode,api,Web Audio API,Spatialization,Ritual|Orbs,1.0,0.9,0.7,PannerNode|AudioParam,Stereo panning|Simple spatial effects,Quick stereo positioning for ambient sounds
AudioListener,Represents the position and orientation of the listener in 3D space,https://developer.mozilla.org/en-US/docs/Web/API/AudioListener,api,Web Audio API,Spatialization,Ritual,1.0,0.7,0.7,PannerNode|AudioContext,3D audio listener positioning,Pairs with PannerNode for spatial audio
ChannelSplitterNode,Separates multi-channel audio into individual mono outputs,https://developer.mozilla.org/en-US/docs/Web/API/ChannelSplitterNode,api,Web Audio API,Channel,Orbs,0.8,0.6,0.4,ChannelMergerNode|AudioNode,Channel routing|Stereo separation,Split channels for independent processing
ChannelMergerNode,Combines multiple mono inputs into a single multi-channel output,https://developer.mozilla.org/en-US/docs/Web/API/ChannelMergerNode,api,Web Audio API,Channel,Orbs,0.8,0.6,0.4,ChannelSplitterNode|AudioNode,Channel combining|Surround mixing,Merge processed channels back together
AudioWorklet,Interface for loading custom audio processing modules,https://developer.mozilla.org/en-US/docs/Web/API/AudioWorklet,api,Web Audio API,Custom Processing,Pantheon|Orbs,0.9,0.8,0.7,AudioWorkletNode|AudioWorkletProcessor,Custom DSP|Real-time processing,Custom deity voice effects beyond built-in nodes
AudioWorkletNode,AudioNode that executes custom processing code via AudioWorklet,https://developer.mozilla.org/en-US/docs/Web/API/AudioWorkletNode,api,Web Audio API,Custom Processing,Pantheon|Orbs,0.9,0.9,0.8,AudioWorklet|AudioWorkletProcessor|AudioParamMap,Custom effects|Voice processing|Audio analysis,Build bespoke voice transformation effects
AudioWorkletProcessor,Runs custom audio processing code in a separate thread,https://developer.mozilla.org/en-US/docs/Web/API/AudioWorkletProcessor,api,Web Audio API,Custom Processing,Pantheon|Orbs,0.9,0.8,0.7,AudioWorkletNode|AudioWorkletGlobalScope,Custom DSP algorithms|Real-time processing,Implement custom processing without blocking main thread
AudioWorkletGlobalScope,Global scope available inside AudioWorklet processing code,https://developer.mozilla.org/en-US/docs/Web/API/AudioWorkletGlobalScope,api,Web Audio API,Custom Processing,Orbs,0.7,0.5,0.3,AudioWorkletProcessor|AudioWorkletNode,Registering processors|Shared worklet scope,Infrastructure for worklet registration
ScriptProcessorNode,DEPRECATED - Legacy JavaScript audio processing on main thread,https://developer.mozilla.org/en-US/docs/Web/API/ScriptProcessorNode,api,Web Audio API,Legacy,Pantheon,0.3,0.4,0.2,AudioWorkletNode|AudioProcessingEvent,Legacy audio processing,Deprecated - use AudioWorkletNode instead
Tone.js,Interactive music framework built on Web Audio API for creating music in the browser,https://tonejs.github.io/,library,Audio Framework,Full Framework,Pantheon|Orbs|Ritual,1.0,1.0,1.0,Web Audio API|AudioContext,Music composition|Sound design|Interactive audio|Deity voice synthesis,Best-in-class Web Audio abstraction; ideal for sacred soundscapes
Tone.Synth,Basic monophonic synthesizer with single oscillator and ADSR envelope,https://tonejs.github.io/docs/Synth,library,Tone.js,Synthesizer,Orbs|Ritual,1.0,0.9,0.7,Tone.FMSynth|Tone.AMSynth|Tone.PolySynth,Tone generation|Melodic sounds|Alert tones,Simple synth for oracle notification sounds
Tone.FMSynth,FM synthesis-based monophonic synthesizer for complex harmonic tones,https://tonejs.github.io/docs/FMSynth,library,Tone.js,Synthesizer,Ritual|Orbs,1.0,0.8,0.7,Tone.Synth|Tone.AMSynth,Complex tones|Metallic sounds|Bell-like timbres,Rich harmonics for ritual ambient sound design
Tone.AMSynth,Amplitude modulation synthesis-based monophonic synthesizer,https://tonejs.github.io/docs/AMSynth,library,Tone.js,Synthesizer,Ritual|Orbs,1.0,0.8,0.6,Tone.Synth|Tone.FMSynth,Tremolo tones|Warm pads,Warm ambient tones for background soundscapes
Tone.NoiseSynth,Synthesizer using filtered noise as its sound source,https://tonejs.github.io/docs/NoiseSynth,library,Tone.js,Synthesizer,Ritual,0.9,0.7,0.5,Tone.Noise|Tone.Synth,Percussion|Ambient noise|Wind effects,Ocean/wind ambient sounds for oracle environment
Tone.PolySynth,Wrapper enabling polyphonic (multi-note) playback from monophonic synths,https://tonejs.github.io/docs/PolySynth,library,Tone.js,Synthesizer,Ritual|Orbs,1.0,0.8,0.7,Tone.Synth|Tone.FMSynth,Chords|Harmonic pads|Multi-voice,Sacred chord progressions for ritual ambience
Tone.Player,Loads and plays back individual audio files with scheduling,https://tonejs.github.io/docs/Player,library,Tone.js,Source,Pantheon|Ritual,1.0,0.9,0.9,Tone.Sampler|AudioBuffer,Audio file playback|Voice clip playback,Play deity voice recordings and oracle readings
Tone.Sampler,Multi-sample instrument with automatic pitch-shifting between notes,https://tonejs.github.io/docs/Sampler,library,Tone.js,Source,Ritual,0.9,0.7,0.5,Tone.Player|AudioBuffer,Sample-based instruments|Sound banks,Could map deity sounds to musical notes
Tone.Oscillator,Generates periodic waveforms with sample-accurate scheduling,https://tonejs.github.io/docs/Oscillator,library,Tone.js,Source,Orbs|Ritual,1.0,0.8,0.6,Tone.Synth|OscillatorNode,Tone generation|Drones|Test signals,Sacred frequency drones (432Hz etc)
Tone.Noise,White/pink/brown noise generator,https://tonejs.github.io/docs/Noise,library,Tone.js,Source,Ritual,0.9,0.7,0.5,Tone.NoiseSynth|Tone.Filter,Ambient noise|Texture layers,Background texture for immersive environments
Tone.Distortion,Distortion audio effect with adjustable amount,https://tonejs.github.io/docs/Distortion,library,Tone.js,Effect,Orbs,0.9,0.7,0.4,Tone.Filter|WaveShaperNode,Distortion|Overdrive|Grit,Subtle grit for underworld deity voices
Tone.Filter,Frequency-based audio filter with lowpass/highpass/bandpass modes,https://tonejs.github.io/docs/Filter,library,Tone.js,Effect,Pantheon|Orbs,1.0,0.9,0.7,BiquadFilterNode|Tone.EQ3,EQ|Tone shaping|Frequency filtering,Shape deity voice frequency content
Tone.FeedbackDelay,Delay effect with feedback loop for echo and rhythmic delay,https://tonejs.github.io/docs/FeedbackDelay,library,Tone.js,Effect,Ritual,0.9,0.8,0.7,DelayNode|Tone.Reverb,Echo|Rhythmic delay|Spatial depth,Ethereal echo for oracle voice delivery
Tone.Reverb,Convolution-based reverb effect for room/space simulation,https://tonejs.github.io/docs/Reverb,library,Tone.js,Effect,Ritual|Pantheon,1.0,0.9,0.9,ConvolverNode|Tone.FeedbackDelay,Room simulation|Temple acoustics|Immersion,Temple reverb for deity voice presence
Tone.Chorus,Chorus effect for thickening and widening audio signals,https://tonejs.github.io/docs/Chorus,library,Tone.js,Effect,Ritual,0.9,0.7,0.5,Tone.Vibrato|Tone.Phaser,Voice thickening|Width|Shimmer,Add ethereal shimmer to deity voices
Tone.Phaser,Phaser effect creating sweeping notch-filter movement,https://tonejs.github.io/docs/Phaser,library,Tone.js,Effect,Orbs,0.9,0.7,0.4,Tone.Chorus|BiquadFilterNode,Sweeping effects|Psychedelic texture,Otherworldly sweeping texture
Tone.Tremolo,Amplitude modulation effect for rhythmic volume pulsing,https://tonejs.github.io/docs/Tremolo,library,Tone.js,Effect,Orbs|Ritual,0.9,0.7,0.5,Tone.Vibrato|GainNode,Pulsing volume|Rhythmic effects,Pulsing audio-reactive effects for orb
Tone.Vibrato,Pitch modulation effect for natural wobble,https://tonejs.github.io/docs/Vibrato,library,Tone.js,Effect,Ritual,0.8,0.6,0.4,Tone.Tremolo|Tone.Chorus,Pitch wobble|Natural expression,Subtle voice warmth
Tone.EQ3,Three-band equalizer (low/mid/high),https://tonejs.github.io/docs/EQ3,library,Tone.js,Effect,Pantheon,0.9,0.8,0.7,BiquadFilterNode|Tone.Filter,Voice EQ|Tone balancing,Quick deity voice tone shaping
Tone.Compressor,Dynamics compressor for volume normalization,https://tonejs.github.io/docs/Compressor,library,Tone.js,Effect,Pantheon,1.0,0.8,0.7,DynamicsCompressorNode|Tone.Limiter,Volume normalization|Dynamic range control,Normalize deity voice loudness
Tone.Limiter,Brick-wall limiter preventing signal from exceeding threshold,https://tonejs.github.io/docs/Limiter,library,Tone.js,Effect,Pantheon,0.9,0.7,0.6,Tone.Compressor|DynamicsCompressorNode,Peak limiting|Clipping prevention,Protect speakers from deity voice peaks
Tone.Gain,Utility gain node for signal routing and volume control,https://tonejs.github.io/docs/Gain,library,Tone.js,Utility,Pantheon|Orbs,1.0,0.8,0.6,GainNode|Tone.Channel,Mixing|Routing|Volume,Basic signal routing in audio chains
Tone.Transport,Global transport for synchronizing and scheduling musical events,https://tonejs.github.io/docs/Transport,library,Tone.js,Scheduling,Ritual|Orbs,1.0,0.9,0.7,Tone.Loop|Tone.Sequence|Tone.Part,Music timing|Synchronized events|Beat scheduling,Synchronize ambient sound layers and transitions
Tone.Loop,Creates looped callback events synchronized to the Transport,https://tonejs.github.io/docs/Loop,library,Tone.js,Scheduling,Ritual|Orbs,1.0,0.8,0.6,Tone.Transport|Tone.Sequence,Repeating patterns|Rhythmic loops,Loop ambient sound patterns
Tone.Sequence,Step sequencer for creating patterns of events,https://tonejs.github.io/docs/Sequence,library,Tone.js,Scheduling,Ritual,0.9,0.7,0.5,Tone.Transport|Tone.Part,Step patterns|Rhythmic sequences,Sequence deity sounds in ritual patterns
Tone.Part,Schedule an array of events along a timeline,https://tonejs.github.io/docs/Part,library,Tone.js,Scheduling,Ritual,0.9,0.7,0.5,Tone.Transport|Tone.Sequence,Complex event scheduling|Musical arrangements,Arrange multi-layer soundscapes
Tone.Meter,Audio level meter for monitoring signal amplitude,https://tonejs.github.io/docs/Meter,library,Tone.js,Analysis,Orbs|Pantheon,1.0,0.9,0.9,AnalyserNode|Tone.FFT,Level monitoring|VU metering|Audio-reactive visuals,Drive orb visual intensity from audio level
Tone.FFT,Fast Fourier Transform analyzer for frequency spectrum data,https://tonejs.github.io/docs/FFT,library,Tone.js,Analysis,Orbs,1.0,0.9,0.9,AnalyserNode|Tone.Waveform,Spectrum visualization|Frequency analysis,Feed frequency data to orb visual shaders
Tone.Waveform,Time-domain waveform analyzer for oscilloscope-style display,https://tonejs.github.io/docs/Waveform,library,Tone.js,Analysis,Orbs,1.0,0.8,0.8,AnalyserNode|Tone.FFT,Waveform display|Oscilloscope visualization,Waveform-driven orb animations
Tone.Channel,Channel strip with volume and panning controls,https://tonejs.github.io/docs/Channel,library,Tone.js,Utility,Pantheon|Ritual,0.9,0.7,0.6,Tone.Gain|StereoPannerNode,Mixing|Channel routing,Mix deity voice with ambient sounds
howler.js,Audio library for modern web with cross-browser support and simple API,https://howlerjs.com/,library,Audio Library,Playback,Pantheon|Ritual,1.0,0.9,0.8,Web Audio API|HTML5 Audio,Audio playback|Sound effects|Game audio|Audio sprites,7KB gzipped; great for simple oracle audio playback
Howl,Core howler.js object representing an individual sound instance,https://howlerjs.com/#api,library,howler.js,Core API,Pantheon|Ritual,1.0,0.9,0.8,Howler|Web Audio API,Sound instance management|Playback control,Per-sound configuration and control
Howler,Global howler.js controller managing codec detection and global settings,https://howlerjs.com/#api,library,howler.js,Core API,Pantheon,1.0,0.7,0.5,Howl|Web Audio API,Global audio config|Codec detection,Global volume and mute controls
Pizzicato.js,Simplified Web Audio API library with clean short API and built-in effects,https://alemangui.github.io/pizzicato/,library,Audio Library,Effects,Orbs|Ritual,0.8,0.8,0.6,Web Audio API|AnalyserNode,Quick prototyping|Audio effects|Sound design,Good for rapid prototyping audio effects
SoundJS,Audio management library from CreateJS suite for loading and managing sounds,https://createjs.com/soundjs,library,Audio Library,Playback,Pantheon,0.7,0.6,0.4,CreateJS|Web Audio API|HTML5 Audio,Asset loading|Audio management|Game audio,Part of CreateJS suite; good for asset management
Tuna,Easy-to-use audio effects library for Web Audio API,https://github.com/Theodeus/tuna,library,Audio Library,Effects,Orbs|Ritual,0.8,0.7,0.5,Web Audio API|BiquadFilterNode|ConvolverNode,Audio effects|Guitar effects|Processing chains,Simple effects API compatible with Web Audio nodes
Wad,Audio manipulation library with effects/filters/panning/microphone support,https://github.com/rserota/wad,library,Audio Library,Full Framework,Pantheon|Orbs,0.8,0.7,0.6,Web Audio API|Tuna|AnalyserNode,Audio manipulation|Mic input|Effects processing,Includes all Tuna effects plus microphone input
virtual-audio-graph,Declarative React-inspired API overlay for Web Audio API state management,https://virtual-audio-graph.netlify.com/,library,Audio Library,Abstraction,Orbs,0.7,0.7,0.4,Web Audio API|AudioNode,Declarative audio graphs|State management,2.4KB; React-like approach to audio graph management
Theresas-Sound-World,Modular low-level Web Audio API method library (TSW),https://github.com/stuartmemo/theresas-sound-world,library,Audio Library,Low-Level,Orbs,0.5,0.6,0.3,Web Audio API|AudioNode,Low-level audio control|Modular audio,Fine-grained control with simpler API than raw Web Audio
XSound,Batteries-included library for audio management/loading/streaming/effects/visualization,https://korilakkuma.github.io/XSound/,library,Audio Library,Full Framework,Pantheon|Orbs|Ritual,0.8,0.8,0.7,Web Audio API|AnalyserNode|MediaStream,Audio management|Visualization|Recording|Effects,Comprehensive all-in-one audio library
Wavesurfer.js,Audio waveform visualization and interaction library,https://wavesurfer-js.org/,library,Audio Library,Visualization,Orbs|Pantheon,0.9,0.9,0.8,Web Audio API|Canvas|AnalyserNode,Waveform display|Audio editing UI|Playback visualization,Visualize oracle readings waveform; interactive scrubbing
peaks.js,Browser-based audio waveform visualization from BBC,https://github.com/bbc/peaks.js,library,Audio Library,Visualization,Pantheon,0.9,0.8,0.5,Web Audio API|Canvas|Wavesurfer.js,Waveform editing|Audio segmentation|Timeline view,BBC-built; excellent for audio editing interfaces
Amplitude.js,Open-source HTML5 audio player library with no dependencies,https://521dimensions.com/open-source/amplitudejs,library,Audio Library,Player,Pantheon,0.8,0.7,0.4,HTML5 Audio|Web Audio API,Audio player UI|Playlist management,Clean player UI for oracle reading playback
Musquito,Tiny vanilla JavaScript audio library using Web Audio API,https://github.com/nicholasstephan/musquito,library,Audio Library,Playback,Ritual,0.6,0.5,0.3,Web Audio API|AudioBuffer,Lightweight audio playback,Minimal footprint for simple audio needs
Tone.Panner,Stereo panning wrapper in Tone.js,https://tonejs.github.io/docs/Panner,library,Tone.js,Spatialization,Ritual|Orbs,0.9,0.7,0.6,StereoPannerNode|Tone.Panner3D,Stereo positioning|Left-right placement,Position deity voices in stereo field
Tone.Panner3D,3D spatial audio panner in Tone.js,https://tonejs.github.io/docs/Panner3D,library,Tone.js,Spatialization,Ritual,0.9,0.8,0.8,PannerNode|AudioListener|Tone.Panner,3D audio positioning|Immersive soundscapes,Position deity voices in 3D space around user
Tone.Convolver,Convolution reverb effect using impulse response buffers,https://tonejs.github.io/docs/Convolver,library,Tone.js,Effect,Ritual|Pantheon,0.9,0.8,0.8,ConvolverNode|Tone.Reverb,Impulse response reverb|Space simulation,Load temple/cave impulse responses for deity ambience
Tone.AutoFilter,LFO-driven filter for automatic sweeping filter effects,https://tonejs.github.io/docs/AutoFilter,library,Tone.js,Effect,Orbs,0.8,0.7,0.5,BiquadFilterNode|Tone.LFO,Auto-wah|Sweeping filter|Rhythmic filtering,Rhythmic filter sweeps for audio-reactive visuals
Tone.AutoPanner,LFO-driven automatic stereo panning,https://tonejs.github.io/docs/AutoPanner,library,Tone.js,Effect,Ritual|Orbs,0.8,0.7,0.5,StereoPannerNode|Tone.LFO,Auto-pan|Moving sound|Spatial motion,Sound that moves around the orb automatically
Tone.AutoWah,Envelope-following auto-wah filter effect,https://tonejs.github.io/docs/AutoWah,library,Tone.js,Effect,Orbs,0.7,0.6,0.3,BiquadFilterNode|Tone.Filter,Wah effect|Envelope following,Creative voice effect option
Tone.BitCrusher,Bit depth reduction effect for lo-fi digital distortion,https://tonejs.github.io/docs/BitCrusher,library,Tone.js,Effect,Orbs,0.8,0.6,0.4,AudioWorkletNode|Tone.Distortion,Lo-fi|Retro digital|Bit reduction,Glitchy digital effects for tech-deity aesthetic
Tone.PitchShift,Real-time pitch shifting without changing playback speed,https://tonejs.github.io/docs/PitchShift,library,Tone.js,Effect,Pantheon,0.9,0.8,0.8,Tone.FrequencyShifter|DelayNode,Voice pitch change|Gender shifting|Deity voice modulation,Shift deity voice pitch for different characters
Tone.FrequencyShifter,Shifts all frequencies by a fixed amount (not pitch-preserving),https://tonejs.github.io/docs/FrequencyShifter,library,Tone.js,Effect,Orbs,0.7,0.6,0.4,Tone.PitchShift|OscillatorNode,Frequency shifting|Ring modulation effects,Alien/otherworldly sound design
Tone.LFO,Low-frequency oscillator for modulating other parameters,https://tonejs.github.io/docs/LFO,library,Tone.js,Modulation,Orbs|Ritual,0.9,0.8,0.6,OscillatorNode|AudioParam,Parameter modulation|Vibrato|Tremolo,Drive rhythmic modulation of orb visual parameters
Tone.Envelope,ADSR envelope generator for shaping signal amplitude over time,https://tonejs.github.io/docs/Envelope,library,Tone.js,Modulation,Ritual,0.9,0.8,0.5,AudioParam|Tone.AmplitudeEnvelope,Sound shaping|Attack/decay control,Shape how oracle sounds emerge and fade
Tone.AmplitudeEnvelope,Envelope connected to a gain node for volume shaping,https://tonejs.github.io/docs/AmplitudeEnvelope,library,Tone.js,Modulation,Ritual|Pantheon,0.9,0.8,0.6,Tone.Envelope|GainNode,Volume shaping|Fade control,Smooth fade-in/out for deity voice clips
Tone.CrossFade,Crossfade between two audio inputs,https://tonejs.github.io/docs/CrossFade,library,Tone.js,Utility,Pantheon|Ritual,0.9,0.8,0.7,GainNode|Tone.Gain,Smooth transitions|Crossfading,Smooth transition between deity voices or ambient layers
Tone.Split,Split a stereo signal into two mono signals,https://tonejs.github.io/docs/Split,library,Tone.js,Utility,Orbs,0.8,0.6,0.3,ChannelSplitterNode|Tone.Merge,Channel splitting|Stereo processing,Split for independent L/R processing
Tone.Merge,Merge two mono signals into a stereo signal,https://tonejs.github.io/docs/Merge,library,Tone.js,Utility,Orbs,0.8,0.6,0.3,ChannelMergerNode|Tone.Split,Channel merging|Stereo creation,Combine processed channels back to stereo
Tone.Recorder,Record audio from any Tone.js node to a blob,https://tonejs.github.io/docs/Recorder,library,Tone.js,Utility,Pantheon,0.9,0.8,0.6,MediaRecorder|MediaStreamAudioDestinationNode,Audio recording|Session capture,Record oracle reading sessions for playback
Tone.Signal,Chainable audio-rate signal for parameter automation,https://tonejs.github.io/docs/Signal,library,Tone.js,Core,Orbs|Ritual,0.9,0.7,0.5,AudioParam|ConstantSourceNode,Parameter automation|Signal routing,Audio-rate parameter control for smooth transitions
Tone.MonoSynth,Monophonic synthesizer with filter and filter envelope,https://tonejs.github.io/docs/MonoSynth,library,Tone.js,Synthesizer,Ritual,0.9,0.7,0.5,Tone.Synth|Tone.Filter,Filtered synth sounds|Bass lines,Rich filtered tones for ritual soundscapes
Tone.DuoSynth,Two-voice synthesizer with shared vibrato,https://tonejs.github.io/docs/DuoSynth,library,Tone.js,Synthesizer,Ritual,0.8,0.7,0.4,Tone.MonoSynth|Tone.Vibrato,Dual-voice synthesis|Thick pads,Layered deity ambient tones
Tone.PluckSynth,Karplus-Strong plucked string synthesis,https://tonejs.github.io/docs/PluckSynth,library,Tone.js,Synthesizer,Ritual,0.8,0.7,0.4,Tone.Synth|DelayNode,Plucked strings|Harp-like sounds,Ancient lyre/harp sounds for Greek mythology theme
Tone.MembraneSynth,Drum-like synthesis using a pitched membrane model,https://tonejs.github.io/docs/MembraneSynth,library,Tone.js,Synthesizer,Ritual,0.8,0.7,0.4,Tone.Synth|OscillatorNode,Drum sounds|Percussion|Impacts,Ritual drum sounds and impact effects
Tone.MetalSynth,Metallic percussion synthesis (cymbals/gongs/bells),https://tonejs.github.io/docs/MetalSynth,library,Tone.js,Synthesizer,Ritual,0.8,0.7,0.5,Tone.FMSynth|Tone.Envelope,Cymbal/gong/bell sounds|Metallic percussion,Sacred bell and gong sounds for ritual transitions
