name,description,url,category,subcategory,github_url,project_tags,production_ready,learning_value,sacred_circuits_relevance,domain_tags,notes
Three.js,JavaScript 3D library for WebGL rendering,https://threejs.org/,WebGL/3D,3D Engine,https://github.com/mrdoob/three.js,Orbs|Pantheon|Constellation,0.9,0.9,0.9,webgl|3d|rendering|animation,Core 3D engine for Spirit Sphere and Orb visualizations
Babylon.js,Powerful 3D engine with WebGL support,https://www.babylonjs.com/,WebGL/3D,3D Engine,https://github.com/BabylonJS/Babylon.js,Orbs|Pantheon,0.9,0.9,0.7,webgl|3d|game-engine|physics,Alternative 3D engine; heavier than Three.js
Pixi.js,Fast 2D WebGL renderer with Canvas fallback,https://pixijs.com/,WebGL/3D,2D Renderer,https://github.com/pixijs/pixi.js,Orbs|Constellation|Wall,0.9,0.8,0.8,webgl|2d|canvas|rendering,Excellent for card animations and 2D particle effects
Fabric.js,Canvas library with SVG-to-Canvas parser,http://fabricjs.com/,Canvas,Canvas Library,https://github.com/kangax/fabric.js,Constellation|Wall,0.9,0.8,0.6,canvas|svg|drawing|manipulation,Useful for card design tools
Paper.js,Vector graphics scripting framework,http://paperjs.org/,Canvas,Vector Graphics,https://github.com/paperjs/paper.js,Constellation|Orbs,0.8,0.8,0.6,canvas|vector|svg|drawing,Sacred geometry drawing potential
Two.js,Renderer-agnostic 2D drawing API,https://two.js.org/,Canvas,2D Drawing,https://github.com/jonobr1/two.js,Constellation|Orbs,0.7,0.7,0.6,svg|canvas|webgl|2d,Lightweight alternative for 2D sacred geometry
svg.js,Lightweight library for manipulating and animating SVG,https://svgjs.dev/,Canvas,SVG,https://github.com/wout/svg.js,Constellation|Wall,0.8,0.7,0.6,svg|animation|vector,SVG constellation and connection lines
heatmap.js,HTML5 canvas-based heatmaps,https://www.patrick-wied.at/static/heatmapjs/,Canvas,Heatmap,https://github.com/pa7/heatmap.js,Constellation,0.7,0.6,0.3,canvas|heatmap|visualization,Data visualization overlay
D3.js,Data-driven visualization library for HTML and SVG,https://d3js.org/,Data Visualization,General,https://github.com/d3/d3,Constellation|Wall,0.9,0.9,0.7,svg|data|charts|visualization,Knowledge graph and deity relationship mapping
Chart.js,Simple HTML5 charts using canvas,https://www.chartjs.org/,Data Visualization,Charts,https://github.com/chartjs/Chart.js,Wall|Constellation,0.9,0.9,0.5,canvas|charts|responsive,Dashboard charts for oracle analytics
ECharts,Enterprise-grade charting library by Apache,https://echarts.apache.org/,Data Visualization,Charts,https://github.com/apache/echarts,Wall|Constellation,0.9,0.8,0.5,charts|svg|canvas|enterprise,Rich chart types for analytics
Plotly.js,High-level charting library for interactive graphs,https://plotly.com/javascript/,Data Visualization,Charts,https://github.com/plotly/plotly.js,Constellation|Wall,0.9,0.8,0.4,charts|3d|interactive|scientific,Scientific visualization
Sigma.js,JavaScript library dedicated to graph drawing,http://sigmajs.org/,Data Visualization,Graph,https://github.com/jacomyal/sigma.js,Constellation,0.7,0.7,0.8,graph|network|visualization,Deity relationship network visualization
Cytoscape.js,Fully featured graph theory library,https://js.cytoscape.org/,Data Visualization,Graph,https://github.com/cytoscape/cytoscape.js,Constellation,0.8,0.8,0.8,graph|network|analysis,Knowledge graph for mythology entities
G2,Data-driven visualization grammar for statistical charts,https://g2.antv.antgroup.com/,Data Visualization,Charts,https://github.com/antvis/G2,Constellation,0.7,0.7,0.3,charts|grammar|visualization,AntV visualization grammar
G6,Graph visualization engine by AntV,https://g6.antv.antgroup.com/,Data Visualization,Graph,https://github.com/antvis/g6,Constellation,0.7,0.7,0.7,graph|network|layout,Graph visualization for entity relationships
C3.js,D3-based reusable chart library,https://c3js.org/,Data Visualization,Charts,https://github.com/c3js/c3,Wall,0.7,0.7,0.3,charts|d3|reusable,Simple chart wrapper
Chartist.js,Simple responsive chart library built with SVG,https://gionkunz.github.io/chartist-js/,Data Visualization,Charts,https://github.com/chartist-js/chartist,Wall,0.6,0.6,0.3,charts|svg|responsive,Lightweight charts
ApexCharts.js,Modern charting library with simple API,https://apexcharts.com/,Data Visualization,Charts,https://github.com/apexcharts/apexcharts.js,Wall,0.8,0.8,0.4,charts|interactive|responsive,Modern chart library
BillBoard.js,D3-based reusable chart library,https://naver.github.io/billboard.js/,Data Visualization,Charts,https://github.com/naver/billboard.js,Wall,0.7,0.7,0.3,charts|d3|reusable,C3.js successor
Frappe Charts,Simple responsive modern SVG charts,https://frappe.io/charts,Data Visualization,Charts,https://github.com/frappe/charts,Wall,0.7,0.7,0.3,charts|svg|lightweight,Minimal chart library
amCharts,Advanced charting library for JS/TS,https://www.amcharts.com/,Data Visualization,Charts,https://github.com/amcharts/amcharts4,Wall,0.8,0.7,0.3,charts|maps|interactive,Commercial chart library
CanvasJS,Responsive HTML5 charting with high performance,https://canvasjs.com/,Data Visualization,Charts,,Wall,0.7,0.6,0.3,charts|canvas|performance,Performance-focused charts
Recharts,Composable charting library built on React and D3,https://recharts.org/,Data Visualization,Charts,https://github.com/recharts/recharts,Wall|Constellation,0.9,0.8,0.5,charts|react|d3|composable,Best React chart library for dashboard
Nivo,Supercharged React dataviz components,https://nivo.rocks/,Data Visualization,Charts,https://github.com/plouc/nivo,Wall|Constellation,0.8,0.8,0.5,charts|react|d3|responsive,Beautiful React data viz
Victory,Composable React components for visualization,https://formidable.com/open-source/victory/,Data Visualization,Charts,https://github.com/FormidableLabs/victory,Wall,0.8,0.7,0.4,charts|react|composable,React-native compatible
react-vis,React components for data visualization by Uber,https://uber.github.io/react-vis/,Data Visualization,Charts,https://github.com/uber/react-vis,Wall,0.7,0.6,0.3,charts|react|uber,Uber's viz library
Anime.js,Lightweight JavaScript animation library,https://animejs.com/,Animation,General,https://github.com/julianshapiro/velocity,Pantheon|Orbs|Wall,0.9,0.9,0.9,animation|css|svg|dom,Core animation engine for card and UI effects
Velocity.js,Accelerated JavaScript animation engine,http://velocityjs.org/,Animation,General,https://github.com/julianshapiro/velocity,Pantheon|Wall,0.8,0.7,0.6,animation|performance|jquery,High-performance animation alternative
GSAP,Professional-grade animation platform,https://gsap.com/,Animation,General,,Pantheon|Orbs|Wall|Ritual,0.9,0.9,0.9,animation|timeline|scroll|svg,Industry standard for web animation
Mo.js,Motion graphics library with declarative API,https://mojs.github.io/,Animation,Motion Graphics,https://github.com/legomushroom/mojs,Pantheon|Orbs,0.7,0.8,0.8,animation|motion|particles|burst,Burst and shape animations for deity effects
Animate.css,Cross-browser library of CSS animations,https://animate.style/,Animation,CSS,https://github.com/animate-css/animate.css,Wall,0.9,0.9,0.5,css|animation|transitions,Simple CSS animation presets
Bounce.js,Create delightful CSS3 powered animations,http://bouncejs.com/,Animation,CSS,https://github.com/twonavimehran/bounce.js,Wall,0.5,0.6,0.3,css|animation|bounce,CSS bounce effects
TweenJS,Tweening and animation library from CreateJS,https://www.createjs.com/tweenjs,Animation,Tweening,https://github.com/CreateJS/TweenJS,Pantheon|Orbs,0.7,0.7,0.6,animation|tweening|createjs,Part of CreateJS suite
Tween.js,JavaScript tweening engine for smooth animations,https://tweenjs.github.io/tween.js/,Animation,Tweening,https://github.com/tweenjs/tween.js,Orbs|Pantheon,0.8,0.7,0.7,animation|tweening|interpolation,Common Three.js companion for smooth transitions
Dynamics.js,Physics-based animations for interfaces,http://dynamicsjs.com/,Animation,Physics,https://github.com/michaelvillar/dynamics.js,Orbs|Pantheon,0.6,0.7,0.6,animation|physics|spring,Physics-based animation effects
Anima,Minimal JavaScript animation library,https://animajs.com/,Animation,General,https://github.com/animajs/anima,Wall,0.3,0.5,0.3,animation|minimal|lightweight,Minimal animation utility
AlloyFinger,Smooth animations and gesture support,https://github.com/AlioyTeam/AlloyFinger,Animation,Gesture,https://github.com/AlloyTeam/AlloyFinger,Ritual,0.6,0.6,0.5,animation|gesture|touch,Touch gesture animations
AOS,Animate on scroll library,https://michalsnik.github.io/aos/,Animation,Scroll,https://github.com/michalsnik/aos,Wall,0.8,0.8,0.5,animation|scroll|css,Scroll-triggered animations for landing pages
ScrollMagic,Scroll interaction and animation library,http://scrollmagic.io/,Animation,Scroll,https://github.com/janpaepke/ScrollMagic,Wall|Ritual,0.8,0.7,0.5,animation|scroll|parallax,Advanced scroll-based storytelling
Lottie,Render After Effects animations natively on web,https://airbnb.io/lottie/,Animation,Vector,https://github.com/airbnb/lottie-web,Pantheon|Wall,0.9,0.8,0.8,animation|svg|after-effects|vector,Deity animation rendering from AE
Howler.js,Modern Web Audio API wrapper for sound control,https://howlerjs.com/,Audio,Audio Library,https://github.com/goldfire/howler.js,Pantheon|Ritual,0.9,0.8,0.9,audio|sound|web-audio|playback,Core audio engine for oracle readings and deity voices
Tone.js,WebAudio framework for interactive music,https://tonejs.github.io/,Audio,Music Framework,https://github.com/Tonejs/Tone.js,Pantheon|Ritual|Orbs,0.9,0.8,0.9,audio|music|synthesis|web-audio,Interactive music for oracle experiences
SoundJS,Simple API for working with audio from CreateJS,https://www.createjs.com/soundjs,Audio,Audio Library,https://github.com/CreateJS/SoundJS,Pantheon,0.7,0.6,0.5,audio|sound|createjs,CreateJS audio module
JuliusJS,Speech recognition library for the web,https://github.com/zzmp/juliusjs,Audio,Speech,https://github.com/zzmp/juliusjs,Pantheon,0.3,0.6,0.5,audio|speech|recognition,Browser speech recognition
MediaElement.js,HTML5 audio/video player with plugin support,https://www.mediaelement.com/,Audio,Player,https://github.com/mediaelement/mediaelement,Pantheon,0.8,0.7,0.4,audio|video|player|html5,Unified media player
Video.js,Open source HTML5 video player,https://videojs.com/,Video,Player,https://github.com/videojs/video.js,Pantheon|Wall,0.9,0.8,0.5,video|player|html5|streaming,Standard video player
Plyr,Simple accessible HTML5 media player,https://plyr.io/,Video,Player,https://github.com/sampotts/plyr,Wall,0.9,0.8,0.4,video|audio|player|accessible,Clean media player
Shaka Player,DASH/HLS adaptive streaming player,https://shaka-player-demo.appspot.com/,Video,Streaming,https://github.com/shaka-project/shaka-player,Wall,0.8,0.7,0.3,video|streaming|dash|hls,Adaptive streaming
Fluent-ffmpeg,Fluent API to FFmpeg for Node.js,https://github.com/fluent-ffmpeg/node-fluent-ffmpeg,Video,Processing,https://github.com/fluent-ffmpeg/node-fluent-ffmpeg,Infrastructure,0.8,0.7,0.5,video|ffmpeg|processing|node,Server-side video processing
jPlayer,jQuery HTML5 audio and video plugin,https://jplayer.org/,Audio,Player,https://github.com/jplayer/jPlayer,Pantheon,0.5,0.5,0.3,audio|video|jquery|player,Legacy jQuery media player
React,Library for building user interfaces with components,https://react.dev/,UI,Framework,https://github.com/facebook/react,Wall|Infrastructure,0.9,0.9,0.7,ui|components|virtual-dom|jsx,Core UI framework
Vue.js,Intuitive fast composable MVVM framework,https://vuejs.org/,UI,Framework,https://github.com/vuejs/vue,Wall,0.9,0.9,0.3,ui|reactive|components|mvvm,Alternative frontend framework
Angular,Platform for building mobile and desktop web apps,https://angular.dev/,UI,Framework,https://github.com/angular/angular,Wall,0.9,0.8,0.3,ui|framework|typescript|enterprise,Enterprise framework
Svelte,Compiler-based UI framework,https://svelte.dev/,UI,Framework,https://github.com/sveltejs/svelte,Wall,0.9,0.9,0.4,ui|compiler|reactive|lightweight,Compiled framework alternative
Preact,Fast 3kB React alternative with same API,https://preactjs.com/,UI,Framework,https://github.com/developit/preact,Wall,0.8,0.7,0.4,ui|react|lightweight|components,Lightweight React alternative
Alpine.js,Reactive nature of Vue/React at low cost,https://alpinejs.dev/,UI,Framework,https://github.com/alpinejs/alpine,Wall,0.8,0.8,0.4,ui|reactive|lightweight|declarative,Minimal reactive framework
Inferno,Extremely fast React-like library,https://infernojs.org/,UI,Framework,https://github.com/infernojs/inferno,Wall,0.7,0.6,0.3,ui|react|performance|virtual-dom,Performance-focused React clone
Mithril.js,Client-side MVC framework under 10kb,https://mithril.js.org/,UI,Framework,https://github.com/lhorie/mithril.js,Wall,0.7,0.7,0.3,ui|mvc|routing|lightweight,Tiny full-featured framework
Hyperapp,1kb library for building frontend applications,https://github.com/hyperapp/hyperapp,UI,Framework,https://github.com/hyperapp/hyperapp,Wall,0.6,0.7,0.3,ui|minimal|functional|virtual-dom,Ultra-minimal framework
Million,Sub-1kb compiler-focused virtual DOM,https://million.dev/,UI,Framework,https://github.com/aidenybai/million,Wall,0.7,0.7,0.3,ui|virtual-dom|compiler|performance,React performance optimizer
Ember.js,Framework for ambitious web applications,https://emberjs.com/,UI,Framework,https://github.com/emberjs/ember.js,Wall,0.8,0.7,0.3,ui|framework|convention|routing,Convention-over-configuration framework
Backbone.js,MVC framework giving structure to JS apps,https://backbonejs.org/,UI,Framework,https://github.com/jashkenas/backbone,Wall,0.7,0.5,0.3,ui|mvc|models|events,Legacy MVC framework
jQuery,Fast small feature-rich DOM manipulation library,https://jquery.com/,DOM,Manipulation,https://github.com/jquery/jquery,Wall,0.9,0.7,0.3,dom|selectors|ajax|events,Legacy but still widely used
Zepto.js,Lightweight jQuery alternative for modern browsers,https://zeptojs.com/,DOM,Manipulation,https://github.com/madrobby/zepto,Wall,0.6,0.5,0.3,dom|lightweight|mobile|touch,Mobile-optimized jQuery alternative
Cheerio,Core jQuery for server-side HTML parsing,https://cheerio.js.org/,DOM,Server,https://github.com/cheeriojs/cheerio,Infrastructure,0.9,0.7,0.4,dom|parsing|server|scraping,Server-side HTML manipulation
Hammer.js,Multi-touch gesture recognition library,https://hammerjs.github.io/,Gesture,Touch,https://github.com/hammerjs/hammer.js,Ritual,0.8,0.7,0.7,gesture|touch|multitouch|mobile,Touch gestures for card interactions
Touchemulator,Touch behavior emulation for testing,https://github.com/hammerjs/touchemulator,Gesture,Testing,https://github.com/hammerjs/touchemulator,Ritual,0.5,0.5,0.3,gesture|testing|touch|emulation,Testing touch interactions
Leaflet,Interactive mobile-friendly mapping library,https://leafletjs.com/,Maps,General,https://github.com/Leaflet/Leaflet,Wall,0.9,0.9,0.4,maps|interactive|mobile|tiles,Lightweight mapping
Mapbox GL JS,WebGL-powered interactive vector maps,https://www.mapbox.com/mapbox-gljs,Maps,WebGL,https://github.com/mapbox/mapbox-gl-js,Wall|Orbs,0.9,0.8,0.4,maps|webgl|vector|3d,WebGL-based mapping
OpenLayers,High-performance mapping library,https://openlayers.org/,Maps,General,https://github.com/openlayers/openlayers,Wall,0.8,0.7,0.3,maps|gis|layers|tiles,Full-featured GIS mapping
Parsley.js,Frontend form validation library,https://parsleyjs.org/,Forms,Validation,https://github.com/guillaumepotier/Parsley.js,Wall,0.7,0.7,0.3,forms|validation|frontend|ui,Form validation for oracle card input
validator.js,String validation and sanitization utility,https://github.com/chriso/validator.js,Forms,Validation,https://github.com/chriso/validator.js,Infrastructure,0.9,0.7,0.4,validation|sanitization|strings,Server-side validation
Zod,TypeScript-first schema validation,https://zod.dev/,Forms,Validation,https://github.com/colinhacks/zod,Infrastructure|Wall,0.9,0.9,0.6,validation|typescript|schema|runtime,Modern schema validation for API
Yup,JavaScript schema builder and validator,https://github.com/jquense/yup,Forms,Validation,https://github.com/jquense/yup,Infrastructure|Wall,0.8,0.8,0.5,validation|schema|forms,Form schema validation
vest,Declarative form validation inspired by testing,https://vestjs.dev/,Forms,Validation,https://github.com/ealush/vest,Wall,0.7,0.7,0.3,validation|forms|declarative,Testing-style form validation
Select2,Enhanced select boxes with search,https://select2.org/,Forms,Select,https://github.com/select2/select2,Wall,0.8,0.7,0.3,forms|select|dropdown|search,Enhanced select widget
Chosen,jQuery plugin for select customization,https://harvesthq.github.io/chosen/,Forms,Select,https://github.com/harvest/chosen,Wall,0.6,0.5,0.3,forms|select|jquery,Legacy select enhancement
Selectize.js,Customizable select and autocomplete control,https://selectize.dev/,Forms,Select,https://github.com/selectize/selectize.js,Wall,0.7,0.6,0.3,forms|select|autocomplete|tags,Hybrid textbox/select
Flatpickr,Lightweight dependency-free date picker,https://flatpickr.js.org/,Forms,Date Picker,https://github.com/flatpickr/flatpickr,Wall,0.9,0.8,0.4,forms|datepicker|calendar|lightweight,Modern date picker
Cleave.js,Format input fields as you type,https://nosir.github.io/cleave.js/,Forms,Formatting,https://github.com/nosir/cleave.js,Wall,0.8,0.7,0.3,forms|formatting|input|masking,Input formatting
Inputmask,Input masking for predefined formats,https://robinherbots.github.io/Inputmask/,Forms,Formatting,https://github.com/RobinHerbots/Inputmask,Wall,0.8,0.7,0.3,forms|mask|input|formatting,Input mask library
AutoNumeric.js,Live currency and number formatting,https://autonumeric.org/,Forms,Formatting,https://github.com/autoNumeric/autoNumeric,Wall,0.7,0.6,0.3,forms|number|currency|formatting,Number formatting for payments
Dropzone,Drag-and-drop file upload with previews,https://www.dropzone.dev/,Forms,File Upload,https://github.com/dropzone/dropzone,Wall,0.8,0.7,0.3,forms|upload|drag-drop|files,File upload widget
SortableJS,Reorderable drag-and-drop lists,https://sortablejs.github.io/Sortable/,UI,Drag and Drop,https://github.com/SortableJS/Sortable,Wall,0.9,0.8,0.4,drag-drop|sorting|lists|touch,Drag-and-drop list management
Swiper,Modern mobile touch slider,https://swiperjs.com/,UI,Carousel,https://github.com/nolimits4web/Swiper,Wall|Ritual,0.9,0.9,0.6,carousel|slider|touch|mobile,Card carousel for oracle deck browsing
Slick,Feature-rich carousel jQuery plugin,https://kenwheeler.github.io/slick/,UI,Carousel,https://github.com/kenwheeler/slick,Wall,0.8,0.7,0.3,carousel|slider|jquery|responsive,jQuery carousel
Glide.js,Dependency-free lightweight slider,https://glidejs.com/,UI,Carousel,https://github.com/glidejs/glide,Wall,0.8,0.7,0.4,carousel|slider|lightweight|responsive,Clean slider library
Splide,Accessible flexible carousel in TypeScript,https://splidejs.com/,UI,Carousel,https://github.com/Splidejs/splide,Wall,0.8,0.8,0.4,carousel|slider|typescript|accessible,TypeScript carousel
Keen Slider,Mobile-friendly slider library,https://keen-slider.io/,UI,Carousel,https://github.com/rcbyr/keen-slider,Wall,0.8,0.8,0.4,carousel|slider|mobile|touch,Modern slider
FullPage.js,Fullscreen scrolling website tool,https://alvarotrigo.com/fullPage/,UI,Scroll,https://github.com/alvarotrigo/fullPage.js,Wall|Ritual,0.8,0.7,0.5,scroll|fullscreen|sections|navigation,Full-page scrolling for oracle experience
reveal.js,HTML presentation framework,https://revealjs.com/,UI,Presentation,https://github.com/hakimel/reveal.js,Wall|Pantheon,0.9,0.8,0.6,presentation|slides|html5|css3,Mythology storytelling presentations
impress.js,Prezi-like presentation framework,https://impress.js.org/,UI,Presentation,https://github.com/impress/impress.js,Wall,0.7,0.7,0.4,presentation|3d|css3|transitions,3D presentation effects
PhotoSwipe,Mobile/desktop image gallery with gestures,https://photoswipe.com/,UI,Gallery,https://github.com/dimsemenov/PhotoSwipe,Wall,0.8,0.8,0.5,gallery|lightbox|touch|responsive,Card image gallery viewer
ProgressBar.js,Responsive animated progress bars,https://kimmobrunfeldt.github.io/progressbar.js/,UI,Progress,https://github.com/kimmobrunfeldt/progressbar.js,Wall|Orbs,0.7,0.7,0.5,progress|animation|svg|shapes,Animated progress indicators
NProgress,Slim progress bars for Ajax applications,https://ricostacruz.com/nprogress/,UI,Progress,https://github.com/rstacruz/nprogress,Wall,0.8,0.7,0.3,progress|loading|ajax|slim,Page loading indicator
Pace,Automatic page load progress bar,https://codebyzach.github.io/pace/,UI,Progress,https://github.com/CodeByZach/pace,Wall,0.7,0.6,0.3,progress|loading|automatic,Auto page load progress
SweetAlert2,Beautiful responsive customizable popups,https://sweetalert2.github.io/,UI,Modal,https://github.com/sweetalert2/sweetalert2,Wall,0.9,0.8,0.4,modal|popup|alert|responsive,Beautiful alert replacement
Micromodal,Lightweight accessible modal library,https://micromodal.vercel.app/,UI,Modal,https://github.com/ghosh/Micromodal,Wall,0.8,0.7,0.3,modal|accessible|lightweight|vanilla,Minimal accessible modal
