name,description,url,category,tool_type,project_tags,production_ready,learning_value,blender_dep,sacred_circuits_relevance,related_threejs_apis,notes
Spline,3D design tool for interactive web experiences with real-time collaboration,https://spline.design,3D Modeling,editor,Pantheon|Orbs|Wall,true,medium,false,high,Scene|Mesh|Material,Browser-based; exports to Three.js directly
Blender,Free open-source 3D creation suite for modeling animation rendering,https://blender.org,3D Modeling,editor,Pantheon|Constellation|Orbs,true,high,true,critical,GLTFLoader|BufferGeometry,Primary modeling tool for Sacred Circuits asset pipeline
Womp,Simplified browser-based 3D creation tool with intuitive interface,https://womp.com,3D Modeling,editor,Pantheon|Orbs,true,medium,false,medium,GLTFLoader|Mesh,Quick prototyping for simple deity assets
Plasticity,Modern CAD tool for precise 3D modeling with NURBS,https://plasticity.xyz,3D Modeling,editor,Constellation|Orbs,true,low,false,low,BufferGeometry|GLTFLoader,Precision modeling for geometric sacred forms
Smooth Voxels,Converts voxel models into smooth organic 3D shapes,https://smoothvoxels.glitch.me,3D Modeling,generator,Orbs|Constellation,false,medium,false,medium,BufferGeometry|Mesh,Interesting for generative deity forms
Rodin,AI model generator for 3D assets from text or image prompts,https://hyperhuman.deemos.com/rodin,3D Modeling,generator,Pantheon|Orbs,false,medium,false,high,GLTFLoader|Mesh,AI-generated deity models for rapid prototyping
Sam3d,AI-powered tool converting pictures to detailed 3D models,https://sam3d.app,3D Modeling,generator,Pantheon,false,medium,false,medium,GLTFLoader|Mesh,Photo-to-3D for deity reference assets
GSAP,High-performance timeline animation library for web,https://greensock.com/gsap,Animation,library,Pantheon|Wall|Ritual,true,high,false,critical,AnimationMixer|Clock,Essential for UI transitions and camera choreography
Anime.js,Powerful lightweight animation library for 2D UI and 3D scenes,https://animejs.com,Animation,library,Wall|Pantheon,true,medium,false,high,AnimationMixer|Clock,Alternative to GSAP for simpler animations
Theatre.js,Motion design library for animating 3D scenes with visual timeline,https://theatrejs.com,Animation,editor,Pantheon|Orbs|Ritual,true,high,false,critical,AnimationMixer|Camera|Object3D,Visual keyframe editor for deity animations
Mixamo,Free 3D character animations and auto-rigging from Adobe,https://mixamo.com,Animation,library,Pantheon,true,high,false,critical,SkeletonUtils|AnimationMixer|BVHLoader,Pre-built deity character animations
Cascadeur,AI-assisted physics-based character animation software,https://cascadeur.com,Animation,editor,Pantheon,true,medium,false,high,AnimationMixer|SkeletonHelper,Physics-accurate deity movement
AccuRIG,Auto rigging tool for 3D character models,https://actorcore.reallusion.com/auto-rig,Animation,utility,Pantheon,true,medium,false,high,Skeleton|Bone|SkeletonHelper,Fast rigging for deity character models
Deepmotion,AI motion capture from video or text descriptions,https://deepmotion.com,Animation,generator,Pantheon|Ritual,true,medium,false,high,AnimationMixer|SkeletonUtils,Video-to-mocap for deity animations
Mesh2motion,Rig and animate 3D models directly in the browser,https://mesh2motion.com,Animation,editor,Pantheon,false,medium,false,medium,Skeleton|AnimationMixer,Browser-based rigging alternative
React Three Fiber,React renderer for Three.js creating declarative 3D scenes,https://docs.pmnd.rs/react-three-fiber,Framework,framework,Pantheon|Orbs|Wall|Constellation|Ritual,true,high,false,critical,WebGLRenderer|Scene|Camera,Primary React integration for all Sacred Circuits web
Drei,Collection of reusable helpers and abstractions for R3F,https://drei.pmnd.rs,Framework,library,Pantheon|Orbs|Wall|Constellation,true,high,false,critical,Various,Essential companion to React Three Fiber
Threlte,Three.js framework for Svelte with declarative components,https://threlte.xyz,Framework,framework,Wall,true,medium,false,low,Scene|WebGLRenderer,Svelte alternative to R3F
Tres.js,Declarative Vue.js framework for Three.js scenes,https://tresjs.org,Framework,framework,Wall,true,medium,false,low,Scene|WebGLRenderer,Vue alternative to R3F
A-Frame,Web framework for building 3D and VR experiences with HTML,https://aframe.io,VR/AR/XR,framework,Ritual,true,high,false,medium,WebGLRenderer|WebXRManager,WebXR foundation for ritual experiences
Hyperfy,WebXR platform for persistent 3D virtual worlds,https://hyperfy.io,VR/AR/XR,framework,Ritual,true,medium,false,medium,WebXRManager|Scene,Persistent XR world hosting
Zappar,Augmented reality platform for web and mobile experiences,https://zap.works,VR/AR/XR,framework,Ritual,true,medium,false,medium,WebXRManager|Camera,AR overlay for card scanning
Spector.js,WebGL scene inspection and debugging tool,https://spector.babylonjs.com,Performance,debugger,Pantheon|Orbs|Constellation,true,high,false,high,WebGLRenderer,Essential for debugging render pipeline
Stats.js,Lightweight JavaScript performance monitor showing FPS,https://github.com/mrdoob/stats.js,Performance,debugger,Pantheon|Orbs|Constellation,true,high,false,high,WebGLRenderer|Clock,Standard FPS counter for development
Three.js DevTools,Browser extension for inspecting Three.js scene graphs,https://github.com/nicedoc/three-devtools,Performance,debugger,Pantheon|Orbs|Constellation|Wall,true,high,false,critical,Scene|Object3D|Material,Chrome extension for scene debugging
Needle Inspector,Chrome extension for inspecting Needle Engine projects,https://needle.tools,Performance,debugger,Pantheon|Orbs,true,medium,false,medium,Scene|WebGLRenderer,Alternative scene inspector
Shadertoy,Community platform for creating and sharing GLSL shaders,https://shadertoy.com,Shaders,editor,Orbs|Constellation,true,high,false,high,ShaderMaterial|RawShaderMaterial,Shader prototyping and inspiration
Nodetoy,Visual node-based shader editor for WebGL,https://nodetoy.io,Shaders,editor,Orbs|Constellation,true,high,false,high,ShaderMaterial|NodeMaterial,Visual shader creation without code
The Book of Shaders,Interactive guide to mastering GLSL fragment shaders,https://thebookofshaders.com,Shaders,learning,Orbs|Constellation,true,high,false,high,ShaderMaterial|RawShaderMaterial,Essential shader learning resource
Shaders.app,Interactive GLSL shader editor and playground,https://shaders.app,Shaders,editor,Orbs,true,medium,false,medium,ShaderMaterial,Quick shader prototyping
TSL Graph,Visual node editor for Three.js Shading Language,https://threejsresources.com/tools,Shaders,editor,Orbs|Constellation,false,high,false,high,NodeMaterial|TSL,New TSL visual editor for WebGPU shaders
GLSL Viewer,Online WebGL shader editor and preview tool,https://glslviewer.com,Shaders,editor,Orbs,true,medium,false,medium,ShaderMaterial,Quick GLSL testing
Poimandres Postprocessing,Comprehensive post-processing effects library for Three.js,https://github.com/pmndrs/postprocessing,Post-Processing,library,Orbs|Pantheon,true,high,false,critical,EffectComposer|WebGLRenderer,Primary post-processing for bloom/glow effects
Ultimate Lens Flare,Post-processing lens flare effect for Three.js,https://github.com/ektogamat/lensflare-threejs,Post-Processing,plugin,Orbs,true,medium,false,high,EffectComposer,Cinematic lens effects for deity scenes
Three Good Godrays,Godray volumetric light effect using postprocessing,https://github.com/n8python/goodGodrays,Post-Processing,plugin,Orbs|Pantheon,true,medium,false,high,EffectComposer|DirectionalLight,Divine light rays for deity presentations
Rapier,Fast cross-platform physics engine with WASM backend,https://rapier.rs,Physics,library,Pantheon|Ritual,true,high,false,medium,Mesh|BufferGeometry,Primary physics engine for interactions
Cannon.js,Lightweight JavaScript physics engine for 3D simulations,https://schteppe.github.io/cannon.js,Physics,library,Pantheon|Ritual,true,high,false,medium,Mesh|BufferGeometry,Simple physics for card interactions
Ammo.js,Full-featured JavaScript port of Bullet physics engine,https://github.com/kripken/ammo.js,Physics,library,Pantheon|Ritual,true,medium,false,low,Mesh|BufferGeometry,Heavy physics for complex simulations
Jolt Physics,JavaScript port of JoltPhysics engine,https://github.com/jrouwe/JoltPhysics.js,Physics,library,Ritual,true,medium,false,low,Mesh|BufferGeometry,Alternative physics engine
Polyhaven,Free high-quality HDRIs textures and 3D models,https://polyhaven.com,Materials & Textures,library,Orbs|Pantheon|Constellation,true,high,false,critical,TextureLoader|HDRLoader|MeshStandardMaterial,Primary free texture and HDRI source
AmbientCG,Free PBR materials and textures for 3D projects,https://ambientcg.com,Materials & Textures,library,Orbs|Constellation,true,high,false,high,TextureLoader|MeshStandardMaterial,Free PBR materials
Substance3D,Adobe professional 3D materials and texture creation,https://substance3d.adobe.com,Materials & Textures,library,Orbs|Pantheon,true,medium,false,medium,MeshStandardMaterial|TextureLoader,Premium material library
Cosmic Texture Browser,Matcap browser with live preview for Three.js,https://cosmictexturebrowser.com,Materials & Textures,utility,Orbs|Pantheon,true,medium,false,high,MeshMatcapMaterial|TextureLoader,Quick matcap selection for stylized looks
Skybox Lab,AI-driven 360 skybox environment creation tool,https://skybox.blockadelabs.com,Environment,generator,Orbs|Pantheon,true,medium,false,high,CubeTextureLoader|Scene,AI skybox generation for deity realms
HDRI-to-CubeMap,Convert HDRI panoramas to CubeMap format for Three.js,https://matheowis.github.io/HDRI-to-CubeMap,Environment,utility,Orbs|Pantheon,true,medium,false,high,CubeTextureLoader|PMREMGenerator,HDRI conversion utility
Three Scatter,Create scatter and distribution systems within Three.js,https://github.com/dgreenheck/three-scatter,Environment,plugin,Constellation|Orbs,true,medium,false,medium,InstancedMesh|BufferGeometry,Vegetation and particle scattering
Sketchfab,Massive 3D model library and marketplace,https://sketchfab.com,Models,library,Pantheon|Constellation,true,high,false,high,GLTFLoader|OBJLoader,Extensive model library for reference
Kenney,Thousands of free game assets including 3D models,https://kenney.nl,Models,library,Constellation|Ritual,true,high,false,medium,GLTFLoader,Free game-ready assets
market.pmnd.rs,Curated tools models and assets for React Three ecosystem,https://market.pmnd.rs,Models,library,Pantheon|Orbs|Wall,true,high,false,high,GLTFLoader|Various,Poimandres ecosystem marketplace
Meshy AI,AI-generated 3D models from text or image prompts,https://meshy.ai,Models,generator,Pantheon,false,medium,false,high,GLTFLoader|Mesh,AI model generation for deity assets
Tripo AI,AI 3D model generator for game and web assets,https://tripo3d.ai,Models,generator,Pantheon,false,medium,false,high,GLTFLoader|Mesh,Fast AI 3D model generation
GLB Optimizer,Compress and optimize GLB/GLTF models for web delivery,https://glb.babylonpress.org,Tools,utility,Pantheon|Orbs|Constellation,true,high,false,critical,GLTFLoader|BufferGeometry,Essential for optimizing deity model file sizes
OptimizeGLB,Compress GLB and GLTF models with Draco and texture optimization,https://optimizeglb.com,Tools,utility,Pantheon|Orbs|Constellation,true,high,false,critical,GLTFLoader|DRACOLoader,Model compression for web delivery
Meshamorphosis,Batch converter for FBX OBJ and GLTF model formats,https://meshamorphosis.com,Tools,utility,Pantheon|Constellation,true,medium,false,high,GLTFLoader|OBJLoader|FBXLoader,Batch format conversion
GLTF/GLB Viewer for VS Code,VS Code extension for previewing 3D models inline,https://marketplace.visualstudio.com,Tools,utility,Pantheon|Constellation,true,high,false,high,GLTFLoader,Dev workflow model preview
MSDF Font Generator,Generate multi-channel signed distance field fonts for WebGL text,https://msdf-bmfont-xml.donmccurdy.com,Tools,generator,Wall|Pantheon,true,medium,false,high,ShaderMaterial|BufferGeometry,High-quality text rendering for UI
Troika Three Text,High-quality SDF text rendering library for Three.js,https://protectwise.github.io/troika/troika-three-text,Tools,library,Wall|Pantheon,true,high,false,critical,Mesh|ShaderMaterial,Primary text rendering for 3D labels
Three MSDF Text,MSDF-based text rendering utility for Three.js,https://github.com/leoncvlt/three-msdf-text,Tools,library,Wall|Pantheon,true,medium,false,high,ShaderMaterial|Mesh,Alternative MSDF text rendering
Facetype.js,Convert fonts to Three.js JSON format for TextGeometry,https://gero3.github.io/facetype.js,Tools,utility,Wall|Pantheon,true,medium,false,medium,TextGeometry|FontLoader,Font conversion for 3D text
lil-gui,Lightweight floating panel controller library for parameters,https://lil-gui.georgealways.com,Tools,utility,Pantheon|Orbs|Constellation|Ritual,true,high,false,high,Various,Standard dev GUI for Three.js tweaking
Tweakpane,Compact pane-based UI control panel library,https://tweakpane.github.io/docs,Tools,utility,Pantheon|Orbs|Constellation,true,high,false,high,Various,Modern alternative to dat.gui
Dat.gui,Classic lightweight controller library for Three.js parameters,https://github.com/dataarts/dat.gui,Tools,utility,Pantheon|Orbs|Constellation,true,medium,false,medium,Various,Legacy but widely used GUI library
Leva,React-first GUI controls library for R3F projects,https://github.com/pmndrs/leva,Tools,utility,Pantheon|Orbs|Wall,true,high,false,critical,Various,Best GUI for React Three Fiber projects
EZ-Tree,Procedural tree generation tool for Three.js scenes,https://github.com/dgreenheck/ez-tree,Tools,generator,Constellation|Orbs,true,medium,false,medium,BufferGeometry|InstancedMesh,Procedural vegetation
Threedsvg,Convert SVG paths to extruded 3D logos and shapes,https://threedsvg.com,Tools,utility,Wall|Constellation,true,medium,false,high,ExtrudeGeometry|SVGLoader,SVG to 3D conversion for logos
hex-to-glsl,Convert hex color codes to GLSL vec3/vec4 vectors,https://hexto.glsl.app,Tools,utility,Orbs|Constellation,true,low,false,medium,ShaderMaterial,Quick color conversion utility
R3F Flow Field Particles,GPGPU particle system for React Three Fiber,https://github.com/pmndrs/r3f-flow-field,Tools,plugin,Orbs,true,medium,false,high,Points|ShaderMaterial|BufferGeometry,GPU particle systems for orb effects
Wiggle,Dynamic motion effects utility for natural movement,https://github.com/pmndrs/wiggle,Tools,plugin,Pantheon|Orbs,true,medium,false,medium,Object3D|AnimationMixer,Organic motion for deity elements
THREE.Interactive,Simplified interactive object handling for Three.js,https://github.com/markuslerner/THREE.Interactive,Interactivity,library,Ritual|Wall,true,medium,false,high,Raycaster|EventDispatcher,Click and hover interactions
Pointer Events,Framework-agnostic pointer event system for 3D objects,https://github.com/nicedoc/pointer-events,Interactivity,library,Ritual|Wall,true,medium,false,high,Raycaster|EventDispatcher,Cross-framework pointer handling
convai,AI-powered conversational 3D characters,https://convai.com,Interactivity,library,Pantheon|Ritual,true,medium,false,high,AnimationMixer|AudioListener,AI conversation for deity characters
Three.js GPU PathTracer,GPU-accelerated path tracing renderer for Three.js,https://github.com/gkjohnson/three-gpu-pathtracer,Rendering,library,Orbs|Pantheon,true,medium,false,medium,WebGLRenderer|MeshStandardMaterial,Photorealistic rendering for hero shots
Tinybvh,Minimal bounding volume hierarchy library for ray tracing,https://github.com/jbikker/tinybvh,Rendering,library,Orbs,true,low,false,low,Raycaster|BufferGeometry,Spatial acceleration structure
vis.gl,GPU-powered WebGL visualization frameworks by Uber,https://vis.gl,Rendering,framework,Constellation|Wall,true,medium,false,medium,WebGLRenderer,Data visualization frameworks
CSS3DRenderer,Three.js renderer for CSS 3D transformed DOM elements,https://threejs.org/docs/#examples/en/renderers/CSS3DRenderer,Rendering,library,Wall,true,high,false,critical,CSS3DRenderer|CSS3DObject,Core renderer for Wall panel layouts
Threejs Journey,Comprehensive Three.js mastery course by Bruno Simon,https://threejs-journey.com,Learning,learning,Pantheon|Orbs|Wall|Constellation|Ritual,true,high,false,high,Various,Best comprehensive Three.js course
Fragments,Creative coding and shader art kickstart resource,https://fragments.dev,Learning,learning,Orbs|Constellation,true,medium,false,medium,ShaderMaterial,Creative coding inspiration
WebGL2 & GLSL Primer,Zero-to-hero spaced repetition guide for WebGL and GLSL,https://webgl2fundamentals.org,Learning,learning,Orbs|Constellation,true,high,false,high,ShaderMaterial|WebGLRenderer,Foundation for shader understanding
Irradiance,3D web development tutorials and guides,https://irradiance.quest,Learning,learning,Pantheon|Orbs,true,medium,false,medium,Various,Three.js tutorial site
Suboptimal Engineer,YouTube channel covering WebGL shaders and creative 3D,https://youtube.com/@SuboptimalEng,Learning,learning,Orbs|Constellation,true,medium,false,medium,ShaderMaterial|Various,Video tutorials for shaders
Robot Bobby,Creative coding tutorials with THREE.js focus,https://youtube.com/@RobotBobby,Learning,learning,Orbs|Constellation,true,medium,false,medium,Various,Creative Three.js tutorials
Three.js Roadmap,Collection of fundamental Three.js courses and paths,https://threejsresources.com,Learning,learning,Pantheon|Orbs|Wall|Constellation,true,high,false,high,Various,Structured learning paths
Modelviewer.dev,Google web component for easy 3D model display,https://modelviewer.dev,Viewers,utility,Pantheon|Wall,true,high,false,high,GLTFLoader,Simple embeddable 3D viewer
GLTFLoader,Official Three.js loader for glTF/GLB 3D models,https://threejs.org/docs/#examples/en/loaders/GLTFLoader,Loaders,loader,Pantheon|Orbs|Constellation,true,high,false,critical,BufferGeometry|Material|AnimationMixer,Primary 3D model loading format
DRACOLoader,Three.js loader for DRACO compressed geometry data,https://threejs.org/docs/#examples/en/loaders/DRACOLoader,Loaders,loader,Pantheon|Orbs|Constellation,true,high,false,critical,BufferGeometry|GLTFLoader,Geometry compression for web delivery
FBXLoader,Three.js loader for Autodesk FBX model files,https://threejs.org/docs/#examples/en/loaders/FBXLoader,Loaders,loader,Pantheon,true,medium,false,high,Skeleton|AnimationMixer,Legacy format support from Blender/Maya
BVHLoader,Three.js loader for BVH skeletal animation data,https://threejs.org/docs/#examples/en/loaders/BVHLoader,Loaders,loader,Pantheon,true,medium,false,high,Skeleton|AnimationMixer,Motion capture data loading
SVGLoader,Three.js loader for SVG vector graphics as 3D geometry,https://threejs.org/docs/#examples/en/loaders/SVGLoader,Loaders,loader,Wall|Constellation,true,medium,false,high,ShapePath|ExtrudeGeometry,SVG to 3D shape conversion
HDRLoader,Three.js loader for HDR environment map images,https://threejs.org/docs/#examples/en/loaders/RGBELoader,Loaders,loader,Orbs|Pantheon,true,high,false,critical,PMREMGenerator|Scene,HDR environment lighting
GLTFExporter,Three.js exporter for saving scenes to glTF/GLB format,https://threejs.org/docs/#examples/en/exporters/GLTFExporter,Exporters,exporter,Pantheon|Orbs|Constellation,true,high,false,high,Scene|Mesh|Material,Export Three.js scenes to glTF
USDZExporter,Three.js exporter for Apple USDZ AR format,https://threejs.org/docs/#examples/en/exporters/USDZExporter,Exporters,exporter,Ritual,true,medium,false,medium,Mesh|Material,AR Quick Look export for iOS
EffectComposer,Three.js post-processing pipeline manager,https://threejs.org/docs/#examples/en/postprocessing/EffectComposer,Post-Processing,utility,Orbs|Pantheon,true,high,false,critical,WebGLRenderer|ShaderPass,Core post-processing pipeline
UnrealBloomPass,Bloom glow effect pass for Three.js post-processing,https://threejs.org/docs/#examples/en/postprocessing/UnrealBloomPass,Post-Processing,plugin,Orbs|Pantheon,true,high,false,critical,EffectComposer,Essential bloom for divine glow effects
OrbitControls,Mouse-based orbit camera control for Three.js,https://threejs.org/docs/#examples/en/controls/OrbitControls,Controls,utility,Pantheon|Orbs|Constellation|Ritual,true,high,false,critical,Camera|EventDispatcher,Standard camera interaction
TransformControls,Interactive transform gizmo for moving rotating scaling objects,https://threejs.org/docs/#examples/en/controls/TransformControls,Controls,utility,Pantheon|Constellation,true,high,false,high,Object3D|Camera,Object manipulation in editor mode
BufferGeometryUtils,Utility functions for merging and manipulating geometries,https://threejs.org/docs/#examples/en/utils/BufferGeometryUtils,Utilities,utility,Constellation|Orbs,true,high,false,high,BufferGeometry|Mesh,Geometry optimization and merging
SkeletonUtils,Skeleton and animation utility functions for retargeting,https://threejs.org/docs/#examples/en/utils/SkeletonUtils,Utilities,utility,Pantheon,true,high,false,critical,Skeleton|AnimationMixer|Bone,Animation retargeting between deity models
ThreePipe,Framework for creating configurable 3D web experiences,https://threepipe.org,Framework,framework,Orbs|Wall,true,medium,false,medium,WebGLRenderer|Scene,Configurable 3D pipeline
Mattercraft,Visual editor for 3D AR VR and WebXR experiences,https://zap.works/mattercraft,VR/AR/XR,editor,Ritual,true,medium,false,medium,WebXRManager|Scene,Visual XR editor
webglstudio,Browser-based 3D development environment,https://webglstudio.org,Tools,editor,Pantheon|Orbs|Constellation,true,medium,false,medium,Scene|WebGLRenderer,Full 3D IDE in browser
Hology Engine,Game engine for creating 3D games for web mobile and VR,https://hology.app,Framework,framework,Ritual|Pantheon,true,medium,false,medium,Scene|WebGLRenderer|Physics,Web game engine built on Three.js
Triplex,No-code visual builder for 2D and 3D web experiences,https://triplex.dev,Tools,editor,Wall|Pantheon,true,medium,false,medium,Scene|Mesh|Material,Visual Three.js scene builder
